Магазин;ГУИДМагазина;СкидкаНаценка;Номенклатура;ГУИДНоменклатуры;ХарактеристикаНоменклатуры;ГУИДХарактеристикиНоменклатуры;ЗначениеСкидкиНаценки;ДатаОкончания;ДатаНачала;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Джемпер (кор.рукав) Coccodrillo;2abc1294-d956-11e6-8162-005056977cd8;р.134, 64, 7-12;2abc1298-d956-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Джемпер Coccodrillo;7c6043b2-dbdd-11e6-8162-005056977cd8;р.116, 60, 3-6;d9140d54-dbf2-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Брюки Coccodrillo;650ba87f-d98c-11e6-826a-0050569740d4;р.98, 52, 1-3;650ba881-d98c-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Куртка Coccodrillo;077001f2-dbcc-11e6-8162-005056977cd8;р.122, 60, 3-6;077001f4-dbcc-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Качели Serina Swivel Forest Friends JOIE;b823c33a-e2cf-11e6-8162-005056977cd8;;;15;12.03.17;08.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Подушка Забава голубой Баю-Бай 40х40;b9dfbfa3-dd42-11e6-8162-005056977cd8;;;10;31.03.17;01.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Брюки Coccodrillo;d4700ff6-d8c9-11e6-8162-005056977cd8;р.122, 60, 3-6;d4700ffb-d8c9-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Набор Бутылочка Well-Being Girl, 4 мес+330мл., с латексной соской + Соска Well-Being, 2мес+, латексн;bb7b44ce-7fd2-11e6-bc75-0050569740d4;;;25;28.02.17;01.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Крем д/рук Эликсир красоты Monster High 200 мл;919da817-63eb-11e4-a1fd-005056977cd8;;;20;10.03.17;03.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Джемпер (кор.рукав) Coccodrillo;7f84223c-dbee-11e6-826a-0050569740d4;р.104, 56, 3-6;7f842241-dbee-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
